time;lane_ids;laneDensity;inflow;outflow
28800;54[1]_1;0.76;36;36
28800;55[0]_0;0.98;48;48
28800;55[0]_1;1.38;60;60
28800;55[0]_2;0.27;12;0
28800;55[1]_0;0.46;48;0
28800;55[1]_1;1.6;60;72
28800;55[1]_2;0.38;0;24
28800;56.0.16_0;1.18;24;72
28800;56.0.16_1;1.12;96;36
28800;57_0;0.63;12;12
28800;57_1;2.47;84;48
28800;58_0;3.41;144;120
28800;58_1;1.2;60;60
28800;59_0;0.08;72;0
28800;59_1;1.18;24;36
28800;59_2;2.26;24;60
28800;6_0;9.07;336;228
28800;6_1;6.98;252;216
28800;6_2;5.73;216;252
28800;6_3;3.3;108;144
28800;6_4;2.23;96;72
28800;60_0;9.35;156;96
28800;61_0;0.22;12;0
28800;61_1;0.28;12;24
28800;62_0;;0;0
28800;63_0;0.09;12;0
28800;64_0;;0;0
28800;66.10_0;0.52;36;24
28800;66.10_1;0.78;36;36
28800;67.1_0;2.28;84;84
28800;67.1_1;0.04;12;0
28800;68_0;1.15;60;48
28800;68_1;0.12;0;12
28800;69_0;1.19;48;48
28800;69_1;0.26;12;12
28800;7.0.20_0;4.34;132;156
28800;7.0.20_1;3.57;0;144
28800;7.0.20_2;3.55;132;84
28800;7.0.20_3;3.09;384;24
28800;7.0.20_4;10.75;156;84
28800;70_0;0.25;12;12
28800;71_0;0.43;12;12
28800;72_0;0.74;36;36
28800;73_0;1.02;48;36
28800;73_1;0.08;12;0
28800;74_0;;0;0
28800;74_1;0.05;12;0
28800;75_0;0.89;36;36
28800;75_1;0.49;36;24
28800;75_2;;0;0
28800;76_0;1.91;60;60
28800;76_1;0.64;84;48
28800;77_0;1.71;48;36
28800;77_1;0.33;12;12
28800;78_0;;0;0
28800;78_1;6.23;240;228
28800;79_0;0.81;24;24
28800;79_1;0.26;24;12
28800;8.0.2.13_0;2.94;228;48
28800;8.0.2.13_1;5.27;192;180
28800;8.0.2.13_2;5.61;264;324
28800;8.0.2.13_3;3.31;192;180
28800;80_0;2.28;132;48
28800;80_1;3.55;60;96
28800;81_0;0.63;12;36
28800;81_1;0.12;24;0
28800;81_2;0.31;12;12
28800;82_0;1.93;36;24
28800;82_1;;0;0
28800;82_2;0.5;12;12
28800;83_0;0.22;12;12
28800;83_1;4.07;192;132
28800;83_2;0.74;24;60
28800;84_0;0.5;192;12
28800;84_1;4.59;60;192
28800;84_2;0.09;0;24
28800;85_0;6.51;144;216
28800;85_1;5.02;168;96
28800;85_2;2.17;60;48
28800;86[0]_0;3.95;144;180
28800;86[0]_1;1.92;108;72
28800;86[0]_2;4.53;192;168
28800;86[1][1]_0;7.13;132;48
28800;86[1][1]_1;3.54;72;48
28800;86[1][1]_2;8.12;168;144
28800;87_0;5.59;156;84
28800;87_1;1.02;24;48
28800;88_0;1.66;48;60
28800;88_1;0.14;12;0
28800;9_0;0.15;48;0
28800;9_1;1.84;168;0
28800;9_2;6.14;336;156
28800;9_3;9.21;180;276
28800;90_0;2.31;48;84
28800;90_1;0.43;72;12
28800;91_0;1.28;48;12
28800;91_1;0.95;48;24
28800;92_0;3.02;252;96
28800;92_1;2.9;24;168
28800;93_0;0.06;48;0
28800;93_1;1.07;12;48
28800;93_2;1.46;48;48
28800;94_0;9.2;96;84
28800;94_1;2.98;72;48
28800;94_2;7.5;96;96
28800;95_0;;0;0
28800;95_1;;0;0
28800;96_0;;0;0
28800;96_1;;0;0
28800;97_0;1.11;60;48
28800;97_1;;0;0
28800;98_0;2.79;96;60
28800;98_1;0.62;0;24
28800;99_0;0.32;12;12
28800;E0_0;22.93;1188;168
28800;E0_1;49.84;0;384
28800;E0_2;48.14;0;492
28800;E0.221_0;11.91;336;324
28800;E0.221_1;8.17;300;300
28800;E1_0;4.47;228;144
28800;E1_1;0.37;0;48
28800;E10_0;0.52;24;24
28800;E10_1;;0;0
28800;E11_0;6.52;36;36
28800;E11_1;;0;0
28800;E12_0;21.56;24;24
28800;E12_1;;0;0
28800;E13_0;2.51;84;84
28800;E13_1;0.62;12;12
28800;E15_0;1.22;36;36
28800;E18_0;9.36;288;288
28800;E18_1;3.32;120;120
28800;E19_0;14.11;468;456
28800;E19_1;9.93;336;312
28800;E19_2;2.68;84;108
28800;E2_0;3.65;180;156
28800;E2_1;0.1;0;12
28800;E2.444_0;3.34;156;132
28800;E2.444_1;2.02;108;84
28800;E20_0;;0;0
28800;E21_0;0.44;12;12
28800;E3_0;23.28;1980;912
28800;E3_1;18.91;0;636
28800;E4.10_0;1.79;72;72
28800;E4.24_0;5.37;108;108
28800;E5_0;5.77;192;192
28800;E5_1;;0;0
28800;E6_0;47.62;168;168
28800;E6_1;85.31;372;372
28800;E6_2;60.19;288;288
28800;E7.29_0;1.12;48;48
28800;E7.9_0;2.6;84;84
28800;E8_0;1.61;72;72
28800;E8_1;;0;0
28800;E8.39_0;1.03;60;48
28800;gneE10_0;94.74;324;324
28800;gneE10_1;37.02;348;312
28800;gneE10_2;37.95;660;648
28800;gneE126_0;9.8;180;180
28800;gneE126_1;24.4;372;348
28800;gneE138_0;;0;0
28800;gneE138_1;8.91;324;324
28800;gneE138_2;3.28;144;144
28800;gneE140_0;0.59;24;24
28800;gneE140_1;;0;0
28800;gneE141_0;9.76;468;396
28800;gneE141_1;1.69;108;84
28800;gneE142_0;9.67;360;348
28800;gneE142_1;6.18;240;228
28800;gneE143_0;0.94;24;24
28800;gneE143_1;;0;0
28800;gneE144_0;0.26;24;12
28800;gneE147_0;;0;0
28800;gneE148_0;0.49;24;24
28800;gneE148_1;0.52;24;24
28800;gneE148_2;;0;0
28800;gneE150_0;1.11;24;24
28800;gneE150_1;;0;0
28800;gneE151_0;2.3;24;24
28800;gneE151_1;;0;0
28800;gneE153_0;3.5;24;24
28800;gneE153_1;10.33;372;360
28800;gneE153_2;2.27;84;84
28800;gneE154_0;16.57;348;348
28800;gneE154_1;3.63;84;84
28800;gneE155_0;0.61;24;24
28800;gneE156_0;0.91;36;36
28800;gneE157_0;0.8;12;12
28800;gneE158_0;1.65;12;12
28800;gneE159_0;2.93;108;120
28800;gneE159_1;0.59;36;24
28800;gneE159_2;;0;0
28800;gneE159_3;;0;0
28800;gneE160_0;0.7;24;24
28800;gneE160_1;2.74;96;96
28800;gneE160_2;0.77;36;24
28800;gneE160_3;2.04;84;96
28800;gneE188_0;17.58;156;120
28800;gneE188_1;3.78;0;24
28800;gneE190_0;0.4;12;12
28800;gneE190_1;;0;0
28800;gneE199_0;18.69;180;132
28800;gneE199_1;4.86;12;48
28800;gneE202_0;5.91;96;84
28800;gneE202_1;0.68;12;12
28800;gneE203_0;2.12;84;84
28800;gneE205_0;;0;0
28800;gneE208_0;0.61;12;12
28800;gneE208_1;;0;0
28800;gneE22_0;;0;0
28800;gneE22_1;71.69;324;348
28800;gneE22_2;7.69;84;24
28800;gneE22_3;16.85;684;672
28800;gneE224_0;0.28;12;12
28800;gneE226_0;2.26;12;12
28800;gneE226_1;;0;0
28800;gneE226_2;0.46;12;12
28800;gneE227_0;1.65;72;72
28800;gneE228_0;2.4;108;108
28800;gneE23_0;;0;0
28800;gneE23_1;;0;0
28800;gneE230_0;0.24;12;12
28800;gneE231_0;2.22;108;96
28800;gneE231_1;1.26;48;48
28800;gneE233_0;0.37;12;12
28800;gneE251_0;1.41;36;12
28800;gneE251_1;0.95;48;36
28800;gneE257_0;1.95;108;24
28800;gneE257_1;4.05;84;168
28800;gneE258_0;16.47;24;24
28800;gneE258_1;0.39;24;12
28800;gneE271_0;0.43;12;12
28800;gneE393_0;;0;0
28800;gneE393_1;5.31;228;204
28800;gneE394_0;;0;0
28800;gneE394_1;1.4;60;60
28800;gneE396_0;;0;0
28800;gneE396_1;1.21;60;48
28800;gneE397_0;2.16;84;84
28800;gneE397_1;0.3;12;12
28800;gneE401_0;;0;0
28800;gneE401_1;69.05;348;348
28800;gneE401_2;9.87;24;0
28800;gneE401_3;10.71;48;48
29100;1_0;6.7;240;228
29100;1_1;5.35;216;204
29100;10_0;13.3;228;204
29100;10_1;11.32;204;228
29100;100_0;2.16;96;96
29100;101_0;1.18;60;48
29100;102_0;0.83;36;36
29100;103[0]_0;2.41;96;132
29100;103[0]_1;3.24;156;108
29100;103[1].2_0;4.17;240;180
29100;103[1].2_1;3.22;96;144
29100;104.5_0;4.13;168;192
29100;104.5_1;1.57;120;72
29100;105_0;4.33;144;132
