begin;laneDensity;lane_ids;inflow;outflow
28800;7.48;39.68_0;324;300
28800;2.93;39.68_1;144;120
28800;13.92;3[0]_0;324;588
28800;10.65;3[0]_1;456;372
28800;5.72;3[0]_2;612;168
28800;7.37;3[1]_0;240;312
28800;4.65;3[1]_1;360;192
28800;4.48;3[1]_2;168;216
28800;4.55;4_0;144;132
28800;1.73;4_1;36;60
28800;5.2;4_2;216;192
28800;5.7;40_0;12;216
28800;9.56;40_1;456;168
28800;9.7;40_2;312;180
28800;4.67;40_3;96;132
28800;9.2;41.3_0;396;372
28800;5.49;41.3_1;228;240
28800;11.38;41.3_2;468;468
28800;2.81;41.3_3;132;108
28800;16.62;42.0_0;360;240
28800;9.98;42.0_1;216;192
28800;4.21;42.0_2;24;108
28800;0.12;42.0_3;0;12
28800;0.93;43[0].45_0;48;24
28800;0.47;43[0].45_1;24;24
28800;8.28;44_0;156;144
28800;0.62;44_1;0;36
28800;1.9;44_2;96;60
28800;6.32;45[0].5_0;336;180
28800;2.65;45[0].5_1;96;156
28800;3.57;45[1]_0;180;120
28800;2.76;45[1]_1;156;132
28800;3.25;46_0;108;144
28800;1.34;46_1;96;24
28800;1.63;47_0;84;60
28800;0.49;47_1;0;24
28800;1.33;48_0;48;48
28800;1.75;48_1;84;60
28800;;48_2;0;0
28800;0.12;49[0]_0;12;0
28800;1.1;49[0]_1;36;48
28800;0.29;49[0]_2;24;12
28800;0.31;49[1]_0;12;0
28800;0.45;49[1]_1;48;12
28800;0.59;49[1]_2;12;36
28800;3.43;5_0;132;96
28800;6.03;5_1;192;216
28800;1.29;50[0].15_0;12;72
28800;0.49;50[0].15_1;84;0
28800;1.57;50[1]_0;60;60
28800;;50[1]_1;0;0
28800;6.45;51_0;216;168
28800;0.43;51_1;0;12
28800;5.32;52_0;0;132
28800;4.71;52_1;288;108
28800;3.04;52_2;120;72
28800;10.19;53.4_0;324;456
28800;9.07;53.4_1;540;336
28800;1.94;53.4_2;96;96
28800;1.82;54[0]_0;72;72
28800;0.36;54[0]_1;24;24
28800;1.26;54[1]_0;60;36
28800;0.76;54[1]_1;36;36
28800;0.98;55[0]_0;48;48
28800;1.38;55[0]_1;60;60
28800;0.27;55[0]_2;12;0
28800;0.46;55[1]_0;48;0
28800;1.6;55[1]_1;60;72
28800;0.38;55[1]_2;0;24
28800;1.18;56.0.16_0;24;72
28800;1.12;56.0.16_1;96;36
28800;0.63;57_0;12;12
28800;2.47;57_1;84;48
28800;3.41;58_0;144;120
28800;1.2;58_1;60;60
28800;0.08;59_0;72;0
28800;1.18;59_1;24;36
28800;2.26;59_2;24;60
28800;9.07;6_0;336;228
28800;6.98;6_1;252;216
28800;5.73;6_2;216;252
28800;3.3;6_3;108;144
28800;2.23;6_4;96;72
28800;9.35;60_0;156;96
28800;0.22;61_0;12;0
28800;0.28;61_1;12;24
28800;;62_0;0;0
28800;0.09;63_0;12;0
28800;;64_0;0;0
28800;0.52;66.10_0;36;24
28800;0.78;66.10_1;36;36
28800;2.28;67.1_0;84;84
28800;0.04;67.1_1;12;0
28800;1.15;68_0;60;48
28800;0.12;68_1;0;12
28800;1.19;69_0;48;48
28800;0.26;69_1;12;12
28800;4.34;7.0.20_0;132;156
28800;3.57;7.0.20_1;0;144
28800;3.55;7.0.20_2;132;84
28800;3.09;7.0.20_3;384;24
28800;10.75;7.0.20_4;156;84
28800;0.25;70_0;12;12
28800;0.43;71_0;12;12
28800;0.74;72_0;36;36
28800;1.02;73_0;48;36
28800;0.08;73_1;12;0
28800;;74_0;0;0
28800;0.05;74_1;12;0
28800;0.89;75_0;36;36
28800;0.49;75_1;36;24
28800;;75_2;0;0
28800;1.91;76_0;60;60
28800;0.64;76_1;84;48
28800;1.71;77_0;48;36
28800;0.33;77_1;12;12
28800;;78_0;0;0
28800;6.23;78_1;240;228
28800;0.81;79_0;24;24
28800;0.26;79_1;24;12
28800;2.94;8.0.2.13_0;228;48
28800;5.27;8.0.2.13_1;192;180
28800;5.61;8.0.2.13_2;264;324
28800;3.31;8.0.2.13_3;192;180
28800;2.28;80_0;132;48
28800;3.55;80_1;60;96
28800;0.63;81_0;12;36
28800;0.12;81_1;24;0
28800;0.31;81_2;12;12
28800;1.93;82_0;36;24
28800;;82_1;0;0
28800;0.5;82_2;12;12
28800;0.22;83_0;12;12
28800;4.07;83_1;192;132
28800;0.74;83_2;24;60
28800;0.5;84_0;192;12
28800;4.59;84_1;60;192
28800;0.09;84_2;0;24
28800;6.51;85_0;144;216
28800;5.02;85_1;168;96
28800;2.17;85_2;60;48
28800;3.95;86[0]_0;144;180
28800;1.92;86[0]_1;108;72
28800;4.53;86[0]_2;192;168
28800;7.13;86[1][1]_0;132;48
28800;3.54;86[1][1]_1;72;48
28800;8.12;86[1][1]_2;168;144
28800;5.59;87_0;156;84
28800;1.02;87_1;24;48
28800;1.66;88_0;48;60
28800;0.14;88_1;12;0
28800;0.15;9_0;48;0
28800;1.84;9_1;168;0
28800;6.14;9_2;336;156
28800;9.21;9_3;180;276
28800;2.31;90_0;48;84
28800;0.43;90_1;72;12
28800;1.28;91_0;48;12
28800;0.95;91_1;48;24
28800;3.02;92_0;252;96
28800;2.9;92_1;24;168
28800;0.06;93_0;48;0
28800;1.07;93_1;12;48
28800;1.46;93_2;48;48
28800;9.2;94_0;96;84
28800;2.98;94_1;72;48
28800;7.5;94_2;96;96
28800;;95_0;0;0
28800;;95_1;0;0
28800;;96_0;0;0
28800;;96_1;0;0
28800;1.11;97_0;60;48
28800;;97_1;0;0
28800;2.79;98_0;96;60
28800;0.62;98_1;0;24
28800;0.32;99_0;12;12
28800;22.93;E0_0;1188;168
28800;49.84;E0_1;0;384
28800;48.14;E0_2;0;492
28800;11.91;E0.221_0;336;324
28800;8.17;E0.221_1;300;300
28800;4.47;E1_0;228;144
28800;0.37;E1_1;0;48
28800;0.52;E10_0;24;24
28800;;E10_1;0;0
28800;6.52;E11_0;36;36
28800;;E11_1;0;0
28800;21.56;E12_0;24;24
28800;;E12_1;0;0
28800;2.51;E13_0;84;84
28800;0.62;E13_1;12;12
28800;1.22;E15_0;36;36
28800;9.36;E18_0;288;288
28800;3.32;E18_1;120;120
28800;14.11;E19_0;468;456
28800;9.93;E19_1;336;312
28800;2.68;E19_2;84;108
28800;3.65;E2_0;180;156
28800;0.1;E2_1;0;12
28800;3.34;E2.444_0;156;132
28800;2.02;E2.444_1;108;84
28800;;E20_0;0;0
28800;0.44;E21_0;12;12
28800;23.28;E3_0;1980;912
28800;18.91;E3_1;0;636
28800;1.79;E4.10_0;72;72
28800;5.37;E4.24_0;108;108
28800;5.77;E5_0;192;192
28800;;E5_1;0;0
28800;47.62;E6_0;168;168
28800;85.31;E6_1;372;372
28800;60.19;E6_2;288;288
28800;1.12;E7.29_0;48;48
28800;2.6;E7.9_0;84;84
28800;1.61;E8_0;72;72
28800;;E8_1;0;0
28800;1.03;E8.39_0;60;48
28800;94.74;gneE10_0;324;324
28800;37.02;gneE10_1;348;312
28800;37.95;gneE10_2;660;648
28800;9.8;gneE126_0;180;180
28800;24.4;gneE126_1;372;348
28800;;gneE138_0;0;0
28800;8.91;gneE138_1;324;324
28800;3.28;gneE138_2;144;144
28800;0.59;gneE140_0;24;24
28800;;gneE140_1;0;0
28800;9.76;gneE141_0;468;396
28800;1.69;gneE141_1;108;84
28800;9.67;gneE142_0;360;348
28800;6.18;gneE142_1;240;228
28800;0.94;gneE143_0;24;24
28800;;gneE143_1;0;0
28800;0.26;gneE144_0;24;12
28800;;gneE147_0;0;0
28800;0.49;gneE148_0;24;24
28800;0.52;gneE148_1;24;24
28800;;gneE148_2;0;0
28800;1.11;gneE150_0;24;24
28800;;gneE150_1;0;0
28800;2.3;gneE151_0;24;24
28800;;gneE151_1;0;0
28800;3.5;gneE153_0;24;24
28800;10.33;gneE153_1;372;360
28800;2.27;gneE153_2;84;84
28800;16.57;gneE154_0;348;348
28800;3.63;gneE154_1;84;84
28800;0.61;gneE155_0;24;24
28800;0.91;gneE156_0;36;36
28800;0.8;gneE157_0;12;12
28800;1.65;gneE158_0;12;12
28800;2.93;gneE159_0;108;120
28800;0.59;gneE159_1;36;24
28800;;gneE159_2;0;0
28800;;gneE159_3;0;0
28800;0.7;gneE160_0;24;24
28800;2.74;gneE160_1;96;96
28800;0.77;gneE160_2;36;24
28800;2.04;gneE160_3;84;96
28800;17.58;gneE188_0;156;120
28800;3.78;gneE188_1;0;24
28800;0.4;gneE190_0;12;12
28800;;gneE190_1;0;0
28800;18.69;gneE199_0;180;132
28800;4.86;gneE199_1;12;48
28800;5.91;gneE202_0;96;84
28800;0.68;gneE202_1;12;12
28800;2.12;gneE203_0;84;84
28800;;gneE205_0;0;0
28800;0.61;gneE208_0;12;12
28800;;gneE208_1;0;0
28800;;gneE22_0;0;0
28800;71.69;gneE22_1;324;348
28800;7.69;gneE22_2;84;24
28800;16.85;gneE22_3;684;672
28800;0.28;gneE224_0;12;12
28800;2.26;gneE226_0;12;12
28800;;gneE226_1;0;0
28800;0.46;gneE226_2;12;12
28800;1.65;gneE227_0;72;72
28800;2.4;gneE228_0;108;108
28800;;gneE23_0;0;0
28800;;gneE23_1;0;0
28800;0.24;gneE230_0;12;12
28800;2.22;gneE231_0;108;96
28800;1.26;gneE231_1;48;48
28800;0.37;gneE233_0;12;12
28800;1.41;gneE251_0;36;12
28800;0.95;gneE251_1;48;36
28800;1.95;gneE257_0;108;24
28800;4.05;gneE257_1;84;168
28800;16.47;gneE258_0;24;24
28800;0.39;gneE258_1;24;12
28800;0.43;gneE271_0;12;12
28800;;gneE393_0;0;0
28800;5.31;gneE393_1;228;204
28800;;gneE394_0;0;0
28800;1.4;gneE394_1;60;60
28800;;gneE396_0;0;0
28800;1.21;gneE396_1;60;48
28800;2.16;gneE397_0;84;84
28800;0.3;gneE397_1;12;12
28800;;gneE401_0;0;0
28800;69.05;gneE401_1;348;348
28800;9.87;gneE401_2;24;0
28800;10.71;gneE401_3;48;48
29100;6.7;1_0;240;228
29100;5.35;1_1;216;204
29100;13.3;10_0;228;204
29100;11.32;10_1;204;228
29100;2.16;100_0;96;96
29100;1.18;101_0;60;48
29100;0.83;102_0;36;36
29100;2.41;103[0]_0;96;132
29100;3.24;103[0]_1;156;108
29100;4.17;103[1].2_0;240;180
29100;3.22;103[1].2_1;96;144
29100;4.13;104.5_0;168;192
29100;1.57;104.5_1;120;72
29100;4.33;105_0;144;132
29100;3.92;105_1;72;84
29100;3.26;106_0;144;144
29100;0.79;107_0;36;36
29100;3.42;107_1;108;108
29100;0.9;108_0;12;12
29100;32.56;108_1;108;108
29100;3.34;109_0;132;132
29100;0.63;109_1;24;24
29100;4.15;11_0;84;72
29100;8.74;11_1;144;144
29100;4.8;110_0;156;144
29100;0.58;110_1;24;36
29100;2.1;111_0;144;36
29100;1.09;111_1;12;108
29100;3.54;112[0]_0;36;192
29100;0.88;112[0]_1;144;12
29100;1.5;112[1]_0;24;24
29100;1.59;112[1]_1;12;12
29100;2.69;113[0]_0;120;120
29100;1.41;113[0]_1;60;60
29100;0.88;113[0]_2;48;36
29100;6.23;113[1][0]_0;264;228
29100;1.32;113[1][0]_1;60;108
29100;0.08;113[1][0]_2;36;0
29100;3.61;114_0;108;144
29100;5.08;114_1;228;204
29100;8.4;115_0;108;108
29100;2.51;115_1;60;60
29100;23.5;116_0;1584;324
29100;21.46;116_1;0;324
29100;32.75;116_2;0;216
29100;53.06;116_3;0;108
29100;89.51;116_4;0;192
29100;6.3;117_0;252;264
29100;5.04;117_1;240;228
29100;1.65;117_2;96;60
29100;1.58;117_3;24;312
29100;10.55;117_4;492;240
29100;51.75;118_0;864;252
29100;75.33;118_1;0;504
29100;2.91;119_0;72;156
29100;0.29;119_1;72;0
29100;5.82;12_0;216;228
29100;2.99;12_1;144;132
29100;4.63;12_2;252;204
29100;9.78;12_3;72;192
29100;4.7;120.0.24_0;72;240
29100;0.66;120.0.24_1;204;0
29100;11.69;121_0;600;96
29100;34.64;121_1;0;264
29100;2.64;122[0]_0;0;336
29100;3.65;122[0]_1;0;168
